关键词,微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
医护人员,5273188063252468,#建议医务人员薪酬不得与创收挂钩##医务人员KPI易导致过度医疗#公共财政资金对于医院的支持聊胜于无，医护人员的薪酬，全部从医院业务收入中得来。如果不能挂钩，医院的钱从何而来？医护人员的钱从何而来？要解决这个问题很好办，医生护士全部为公务员待遇，由财政来托底支付医护人员的薪酬。可是这 ...全文,,https://wx1.sinaimg.cn/orj360/002E1Q6Wgy1iawadu7cpmj610o1vadss02.jpg,,,Thu Mar 05 19:17:48 +0800 2026,前 浙江援疆外科副主任医师   长文原创作者 健康博主 微博原创视频博主,179,8,50
医护人员,5273224961065928,刚发现 被羊驼攻击完怎么还亲自送到门口啊亮亮！ ,,"https://wx3.sinaimg.cn/orj360/006Ze3UXgy1iawem2h6rej30wo0jsdi0.jpg,https://wx1.sinaimg.cn/orj360/006Ze3UXgy1iawem2pli4j30wo0kign7.jpg",,,Thu Mar 05 21:44:25 +0800 2026,娱乐博主,49,2,13
医护人员,5273122689257859,我听一个同行群吐槽，他们医院还有连坐制度。比如出现了患者投诉，当事医生扣500，科室其他医生、护士加起来扣1000，科主任再扣500，副主任扣300，护士长扣200。我也很纳闷，为什么连坐制度不上升到医务科或者院领导？那他们就没有领导责任吗？他们就没有管理责任吗？院长不是医院的法人代表吗？ ...全文,,无,,,Thu Mar 05 14:58:02 +0800 2026,2025微博新锐新知博主 健康博主,197,11,45
医护人员,5273232661026727,【老人骑车被卷搅拌车下，消防员归队时途经事发路段，迅速展开救援】近日，云南昭通，一名老人骑车被卷搅拌车下，外出执行任务的消防员归队途中路遇事故，迅速停车救援。 都市条形码的微博视频 ,,无,"https://f.video.weibocdn.com/u0/tommAM8cgx08vPEZL96U01041200aHbc0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729715&ssig=%2FrBcPaGNn0&KID=unistore,video",,Thu Mar 05 22:15:01 +0800 2026,云南广播电视台都市频道官方微博,0,0,1
医护人员,5273232153516893,#郭艾伦受伤倒地仰面痛哭#郭艾伦在一次上篮中受伤，捂着自己的左膝，随后被医护人员用担架推出球场，希望郭艾伦无大碍，第二阶段即将开打，希望郭艾伦早日康复#郭艾伦未实现的篮球梦##郭艾伦受伤##一分钟视频创作季# 丸纸糕手的微博视频 ,,无,"https://f.video.weibocdn.com/o0/LgvDdfLllx08vPLZFLyU01041200Ffzy0E010.mp4?label=mp4_hd&template=640x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729715&ssig=P12PpnZjI5&KID=unistore,video",,Thu Mar 05 22:13:00 +0800 2026,游戏博主 微博剪辑视频博主,14,7,8
医护人员,5273228786011765,近期全国政协委员熊水龙指出当前我国居民身份证上包含公民详细住址，若信息泄露可能被不法分子利用，威胁人身安全，由此引发了社会对于身份证是否还需印住址的讨论。是否有必要在身份证上印住址，利弊兼具。对于政府部门开展行政管理、公共服务工作，住址信息能辅助精准管理和服务，比如社区通知、人 ...全文,,无,"https://f.video.weibocdn.com/o0/Hvaum0filx08vPL1eWHS010412002eoq0E010.mp4?label=mp4_hd&template=540x776.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729715&ssig=DnnHvtQ0x5&KID=unistore,video",,Thu Mar 05 21:59:37 +0800 2026,体育博主,46,0,20
医护人员,5273227805066741,#郭艾伦受伤#比赛第三节，郭艾伦持球突破对抗后左膝受伤倒地，当即捂住膝盖表情极度痛苦，无法自行站立。现场视频显示其膝盖在发力时遭遇外力碰撞，导致关节异常弯曲。医护人员用担架将其抬离球场，离场时他情绪崩溃仰面痛哭，球迷高喊“艾伦加油”以示支持。多位篮球领域大V账号推测伤情集中在左膝 ...全文,,无,,,Thu Mar 05 21:55:43 +0800 2026,超话小主持人（绝望姐妹花_爱吐槽版超话）,11,0,11
医护人员,5273226080158388,王源#王源实体专辑在星穹下狂奔##源基金# 王源作为创始人不仅出资，更亲身参与探访。他在医院与患儿相处的细节被医护人员提及，这份真诚比单纯捐款更触动人心。@TFBOYS–王源源公益专项基金的微博视频 ,,无,"https://f.video.weibocdn.com/003DMiwblx07y70KRVOE01041200GllP0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729715&ssig=ieFev40zsS&KID=unistore,video",,Thu Mar 05 21:48:51 +0800 2026,王源超话,0,0,1
医护人员,5273123054160839,#天津东丽区##学雷锋##雷锋##志愿者服务活动# 【学雷锋践初心 我区举办多样志愿服务活动】近日，天津东丽区各单位、街道社区开展形式多样的学雷锋纪念活动，传承雷锋精神，营造互助友爱、文明和谐的氛围。张贵庄街道詹滨西里社区联合公安东丽分局、东丽中医医院，开展“警医同行 守护平安健康”主题 ...全文,,"https://wx4.sinaimg.cn/orj360/96f7cdb9ly1iaw2w14t25j20n30hbh0a.jpg,https://wx3.sinaimg.cn/orj360/96f7cdb9ly1iaw2w0txipj20n30cz47s.jpg,https://wx1.sinaimg.cn/orj360/96f7cdb9ly1iaw2w0uzmvj20n30cz7dv.jpg,https://wx4.sinaimg.cn/orj360/96f7cdb9ly1iaw2w12v6bj20n40fc7gk.jpg,https://wx4.sinaimg.cn/orj360/96f7cdb9ly1iaw2w13rx4j20n30f6am3.jpg,https://wx2.sinaimg.cn/orj360/96f7cdb9ly1iaw2w1nefsj20n30hbh1i.jpg,https://wx4.sinaimg.cn/orj360/96f7cdb9ly1iaw2w1ccs3j20mu0h51a6.jpg,https://wx3.sinaimg.cn/orj360/96f7cdb9ly1iaw2w0g933j20bi08njuo.jpg,https://wx1.sinaimg.cn/orj360/96f7cdb9ly1iaw2w0hd4gj20bi08nq6r.jpg",,,Thu Mar 05 14:59:29 +0800 2026,天津市东丽区融媒体中心官方微博,26,0,20
医护人员,5273223295929209,#郭艾伦受伤#郭艾伦在今日（2026年3月5日）CBA常规赛广州龙狮对阵山东男篮的比赛中左膝受伤，痛苦倒地后被担架抬离球场，具体伤情尚待进一步确认。一、最新伤情动态受伤场景与紧急处理郭艾伦在比赛第四节突破上篮时左膝受力扭伤，当场痛苦倒地无法起身，医护人员用担架将其抬离球场。慢镜头显示其 ...全文,,无,,,Thu Mar 05 21:37:48 +0800 2026,娱乐博主 超话粉丝钻咖（陈楚生超话）,57,3,35
医护人员,5273221968432606,疼痛难免 This Is Going to Hurt (2022) 跟匹兹堡一样，感觉前线医护人员强度和压力真心巨大，可惜咱国内拍不出这种医疗剧。#2026追剧记录# 015 ,,"https://wx3.sinaimg.cn/orj360/548a9817ly1iawe85pn57j20u0194tk8.jpg,https://wx1.sinaimg.cn/orj360/548a9817ly1iawe85ok2qj21hc0u0n4g.jpg",,,Thu Mar 05 21:32:32 +0800 2026,微博网页版,0,0,1
医护人员,5273123940992575,#2026上铁春运进行时# #春运暖心故事# 近日，C3258次列车停靠镇江站7号站台，客运员马益群在立岗接车时，发现一名女性旅客身体不适、蹲在站台，立即上前询问并上报。客运值班员王琦、汤鹏迅速联动驻站公安赶赴现场处置。旅客腹痛剧烈、脸色苍白，恰逢车站正在开展“3.5学雷锋纪念日暨3·3爱耳日”义诊活 ...全文,,"https://wx3.sinaimg.cn/orj360/726c1f87gy1iaw0yfjzxmj21hc0zkgy4.jpg,https://wx1.sinaimg.cn/orj360/726c1f87gy1iaw0yfjkdbj21bz0zjdrn.jpg",,,Thu Mar 05 15:03:00 +0800 2026,中国铁路上海局集团有限公司官方微博,12,17,4
医护人员,5273217279462703,#龙狮男篮vs山东男篮# 我去，我刚打开直播，郭艾伦怎么了？？？ ,,"https://wx2.sinaimg.cn/orj360/008qJHgGly1iawdqt173jj31g20thn23.jpg,https://wx1.sinaimg.cn/orj360/008qJHgGly1iawdqt2083j31d30txq9a.jpg,https://wx1.sinaimg.cn/orj360/008qJHgGly1iawdqsx17zj31ai0s7jto.jpg",,,Thu Mar 05 21:13:54 +0800 2026,体育媒体人,20,0,7
医护人员,5273151680546974,分享视频 玥趴的微博视频 ,,无,"https://f.video.weibocdn.com/u0/rowqb96qgx08vPpYSH4A01041200baRb0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729730&ssig=%2FaX%2FnlCnuG&KID=unistore,video",,Thu Mar 05 16:53:14 +0800 2026,微博原创视频博主,30,5,5
医护人员,5273060242360411,前文指路网页链接合集指路网页链接从此就维持着这种关系。每次发情期前郑在玹都会住到这里。渐渐的不是发情期也会住在这里。理由是需要专业人员和安保人员陪同待产Omega。金道英瞥人一眼，说，你才是最大的威胁，郑、医、生。于是郑医生入住失败。不过有了信息素安 ...全文,,无,,,Thu Mar 05 10:49:53 +0800 2026,音乐博主 微博剪辑视频博主,48,1,4
医护人员,5273155384907060,王天辰郭晓婷你俩真的是缘分来了挡都挡不住啊，期待再搭档！#姐姐姐夫让工作人员又相信爱情了##王天辰在郭晓婷面前演花楹##一分钟视频创作季# cr：见水印 露池lucky的微博视频 ,,无,"https://f.video.weibocdn.com/o0/PEAqWAYElx08vPqZ5rtK01041200AkAR0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729730&ssig=6yiur3XRmb&KID=unistore,video",,Thu Mar 05 17:07:57 +0800 2026,时尚博主,20,0,1
医护人员,5273202796267303,#建议医务人员薪酬不得与创收挂钩#大多数医院一直都没有挂钩，只有少数才是，医生的主要任务是救人治病，不是创造业绩的。只不过还有一个收支问题，医护的工资也要保证到位才行。 ,,无,,,Thu Mar 05 20:16:21 +0800 2026,数码博主,140,26,104
医护人员,5273153636402238,[这就是以色列人的韧性]空袭警报响起间隙  医生为80岁老人恢复视力在警报声不断响起，医护人员和病人纷纷寻找掩体之际，以色列拉姆巴姆医疗中心的医生们仍坚持进行期待已久的角膜移植手术，不辜负捐赠者的恩情，在枪林弹雨中完成了这项精细的手术。接受手术的是一位80多岁老人，他等待合适的角膜 ...全文,,https://wx1.sinaimg.cn/orj360/005QRfAsly1iavxjxdplsj30sg0nb16n.jpg,,,Thu Mar 05 17:01:00 +0800 2026,以色列驻成都总领事馆官方微博,373,4,57
医护人员,5273197764674107,#建议医务人员薪酬不得与创收挂钩# 有人去医院做尖税湿疣手术，医生没做干净，过一段时间复发了，又去医院做一次手术，医生又没做干净，过一段时间又复发了。医生说尖税湿疣就是这个特点，做不干净。你也不知道是真做不干净还是假做不干净。有创收指标，就可能留操作空间，也就自然有医患间的猜忌。 ,,无,,,Thu Mar 05 19:56:21 +0800 2026,经济师 公益博主 头条文章作者,8,0,17
医护人员,5273072814790348,#建议禁止性侵未成年罪犯进入幼儿园#严惩特殊职责人员犯罪针对教师、监护人、医护人员等具有特殊职责的人员利用职权实施性侵的行为，建议将其作为法定加重情节予以从重处罚。例如，若利用职务便利奸淫幼女，应依法顶格量刑。建立出狱后动态监管体系对性侵未成年人的犯罪分子，在刑罚执行完毕或假释 ...全文,,无,"https://f.video.weibocdn.com/o0/5VwKiLoilx08vP4tvCes01041200qpNP0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729731&ssig=l6msKUbbEz&KID=unistore,video",,Thu Mar 05 11:39:51 +0800 2026,情感博主 超话小主持人（雅一点好超话）,91,0,5
医护人员,5273183416747081,意大利。上千人参加了因心脏移植手术失败而去世的两岁男童多梅尼科的葬礼，意大利总理也出席了。事件：梅尼科去年12月底在拿坡里莫纳尔迪医院（Monaldi Hospital）接受移植手术，该颗心脏由北部波札诺（Bolzano）运往南部拿坡里，行程长达约800公里。可惜，在长达八小时的运输过程中，医护人员用了 ...全文,,"https://wx4.sinaimg.cn/orj360/e0398e31gy1iaw9t6j9o2j20u011i7gc.jpg,https://wx4.sinaimg.cn/orj360/e0398e31gy1iaw9t73vroj20u011ik4b.jpg,https://wx1.sinaimg.cn/orj360/e0398e31gy1iaw9t75y8zj20u011ik1n.jpg,https://wx3.sinaimg.cn/orj360/e0398e31gy1iaw9t77rz8j20u011i4dh.jpg,https://wx4.sinaimg.cn/orj360/e0398e31gy1iaw9t7a0z6j20u011iaqa.jpg",,,Thu Mar 05 18:59:20 +0800 2026,知名本地博主 海外资讯博主（德国） 微博原创视频博主,3,1,1
医护人员,5272851399051377,你觉得宝宝能看到为他服务的医生吗？ 蓝莓医生的微博视频 ,,无,"https://f.video.weibocdn.com/o0/VlwPZvy7lx08vKMLbo6A010412009m1G0E010.mp4?label=mp4_hd&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729740&ssig=fxDVVa8yHz&KID=unistore,video",,Wed Mar 04 21:00:01 +0800 2026,2019-2021十大影响力健康医疗大V  外科医生,88,9,24
医护人员,5273142030242600,【#医院回应医生向白发母亲塞200元#：正在组织医护人员向这对母子捐款】据极目新闻 60岁的母亲扛着24岁的脑瘫儿子一路闯过生死关卡，出院时一名医生塞给她200元，她竟掩面泣不成声，这是2月14日发生在咸宁市中医医院的动人一幕。3月4日，当事医生告诉@极目新闻 记者，这对母子是低保户，治疗费用大部分 ...全文,,无,"https://f.video.weibocdn.com/o0/x3HmmBWFlx08vP2eFSyQ01041200377t0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1772729740&ssig=DWKOTkF9nG&KID=unistore,video",,Thu Mar 05 16:14:53 +0800 2026,新浪新闻,109,71,21
